nombre,categoria,direccion_completa,barrio,comuna
VERMONT,RESTAURANTE,SUIPACHA 425,San Nicolas,Comuna 1
VERO BAR,CAFE,"URIBURU JOSE E., Pres. 441",Balvanera,Comuna 3
VIA CANDOTTI,RESTAURANTE,PARAGUAY 665,Retiro,Comuna 1
VIA CORDOBA,RESTAURANTE,CORDOBA AV. 357,Retiro,Comuna 1
VIA MONT,CAFE,VIAMONTE 2116,Balvanera,Comuna 3
VIA PACIFICO,RESTAURANTE,SANTA FE AV. 4600,Palermo,Comuna 14
VIA SOL,RESTAURANTE,25 DE MAYO 437,San Nicolas,Comuna 1
VIA VIA BUENOS AIRES,RESTAURANTE,CHILE AV. 324,San Telmo,Comuna 1
VICENTE,CAFE,PRIMERA JUNTA 4899,Parque Avellaneda,Comuna 9
VICENZA,RESTAURANTE,JUNCAL 2354,Recoleta,Comuna 2
VICKINGO,RESTAURANTE,ESMERALDA 282,San Nicolas,Comuna 1
VICRIN,RESTAURANTE,"RAMOS MEJIA, JOSE MARIA, DR. AV. 1430",Retiro,Comuna 1
VICTORIA CITY,RESTAURANTE,"PERON, JUAN DOMINGO, TTE. GENERAL 691",San Nicolas,Comuna 1
VICTORIA IMPALA,RESTAURANTE,"BEIRO, FRANCISCO AV. 4801",Villa Devoto,Comuna 11
VICTORIA LAS HERAS,RESTAURANTE,LAS HERAS GENERAL AV. 2500,Recoleta,Comuna 2
VICTORIA PIZZA CAFE,RESTAURANTE,IRIGOYEN 1800,Versalles,Comuna 10
VICTORIA'S,RESTAURANTE,"PERON, JUAN DOMINGO, TTE. GENERAL 2099",Balvanera,Comuna 3
VICTORIA URQUIZA,RESTAURANTE,TRIUNVIRATO AV. 3751,Villa Ortuzar,Comuna 15
VIEJA ESQUINA,RESTAURANTE,BOGOTA 42,Caballito,Comuna 6
VIEJA ESTACION,RESTAURANTE,"PERON, JUAN DOMINGO, TTE. GENERAL 828",San Nicolas,Comuna 1
VIEJA RECOVA,RESTAURANTE,"DE LA TORRE, LISANDRO AV. 2390",Mataderos,Comuna 9
VIEJO AGUMP,RESTAURANTE,ARMENIA 1382,Palermo,Comuna 14
VIEJO AMIGO,RESTAURANTE,EL SALVADOR 5763,Palermo,Comuna 14
VIEJO DERBI,,DEFENSA 1809,Barracas,Comuna 4
VIEJO INDECENTE,RESTAURANTE,THAMES 1907,Palermo,Comuna 14
VIEJOS TIEMPOS,RESTAURANTE,DEFENSA 333,Monserrat,Comuna 1
VIETRI,RESTAURANTE,CORRIENTES AV. 4508,Almagro,Comuna 5
VILLA REAL,,"BEIRO, FRANCISCO AV. 5702",Villa Real,Comuna 10
VILMA PIZZA & BURGUER,RESTAURANTE,SAN MARTIN AV. 5672,Villa Del Parque,Comuna 11
VIRAGO CAFE,RESTAURANTE,"DIAZ, CNEL. AV. 1601",Recoleta,Comuna 2
VIRASORO,RESTAURANTE,GUATEMALA 4328,Palermo,Comuna 14
VIRGILIO PIZZA BAR,,MALABIA 600,Villa Crespo,Comuna 15
VITORIO,RESTAURANTE,CABILDO AV. 3990,Saavedra,Comuna 12
VITORIO,RESTAURANTE,"MITRE, EMILIO 383",Caballito,Comuna 6
VITREAUX,RESTAURANTE,DIRECTORIO AV. 1295,Caballito,Comuna 6
VIVACE,RESTAURANTE,"GOYENA, PEDRO AV. 1382",Caballito,Comuna 6
VOLVER,RESTAURANTE,RIVADAVIA AV. 2002,Balvanera,Comuna 3
WALF II FAST FOOD,,THAMES 99,Villa Crespo,Comuna 15
WAN WAN,VINERIA,MOLDES 1959,Belgrano,Comuna 13
WENDOLIN PUB,PUB,11 DE SEPTIEMBRE DE 1888 4401,NuÃÆÃÂ±ez,Comuna 13
WHAM,RESTAURANTE,SARMIENTO 1699,San Nicolas,Comuna 1
WILL RANCH,RESTAURANTE,TUCUMAN 907,San Nicolas,Comuna 1
WINERY,VINERIA,DEL LIBERTADOR AV. 500,Retiro,Comuna 1
WINERY,VINERIA,CORRIENTES AV. 300,San Nicolas,Comuna 1
WINERY,VINERIA,"ALEM, LEANDRO N. AV. 880",Retiro,Comuna 1
WINNER,PUB,CABILDO AV. 3102,NuÃÆÃÂ±ez,Comuna 13
WINNER,RESTAURANTE,HUMAHUACA 4395,Almagro,Comuna 5
WINTER,RESTAURANTE,YERBAL 1617,Caballito,Comuna 6
WISH,RESTAURANTE,"YRIGOYEN, HIPOLITO 3181",Balvanera,Comuna 3
WOK INN,VINERIA,LAVALLE 180,San Nicolas,Comuna 1
WORLD SPORT CAFE,RESTAURANTE,JUNIN 1745,Recoleta,Comuna 2
XALAPA,RESTAURANTE,EL SALVADOR 4800,Palermo,Comuna 14
XANA,RESTAURANTE,"CABRERA, JOSE A. 4799",Palermo,Comuna 14
XCARET,RESTAURANTE,"MOREAU DE JUSTO, ALICIA AV. 164",Puerto Madero,Comuna 1
YANTAR B & B,RESTAURANTE,RIVADAVIA AV. 8144,Floresta,Comuna 10
YEDRON,RESTAURANTE,AVELLANEDA 1032,Caballito,Comuna 6
YOKO'S,RESTAURANTE,ORTEGA Y GASSET 1813,Palermo,Comuna 14
YRINEO,RESTAURANTE,MIÃÆÃ¢â¬ËONES 1966,Belgrano,Comuna 13
ZADVARIE DOC,RESTAURANTE,URIARTE 1423,Palermo,Comuna 14
ZAKATE,BAR,TUCUMAN 975,San Nicolas,Comuna 1
ZAPI,RESTAURANTE,PUEYRREDON AV. 1202,Recoleta,Comuna 2
ZAPI,RESTAURANTE,VARELA AV. 1316,Flores,Comuna 7
ZAPI,RESTAURANTE,SALTA 1531,Constitucion,Comuna 1
ZAPI,RESTAURANTE,RIVADAVIA AV. 6899,Flores,Comuna 7
ZAPI,RESTAURANTE,"MONTES DE OCA, MANUEL 1402",Barracas,Comuna 4
ZAPI,RESTAURANTE,TUCUMAN 2202,Balvanera,Comuna 3
ZAPI,RESTAURANTE,CORRIENTES AV. 1932,Balvanera,Comuna 3
ZAPI,RESTAURANTE,CABILDO AV. 1308,Colegiales,Comuna 13
ZEPELLIN,BAR,SAN MARTIN 545,San Nicolas,Comuna 1
ZOE PIZZA & CAFE,RESTAURANTE,AZCUENAGA 796,Balvanera,Comuna 3
ZOMBI,RESTAURANTE,URUGUAY 142,San Nicolas,Comuna 1
ZONA,RESTAURANTE,11 DE SEPTIEMBRE DE 1888 3900,NuÃÆÃÂ±ez,Comuna 13
ZOO BAR,RESTAURANTE,TUCUMAN 2002,Balvanera,Comuna 3
Angelito,BAR,,Villa Crespo,Comuna 15
