nombre,categoria,direccion_completa,barrio,comuna
QUESO Y CRUDO,RESTAURANTE,RODRIGUEZ PEÃÆÃ¢â¬ËA 1169,Recoleta,Comuna 2
QUE TUL...,RESTAURANTE,PADILLA 1002,Villa Crespo,Comuna 15
QUICK,BAR,"CASTRO, EMILIO AV. 5680",Mataderos,Comuna 9
QUIERO MAS,RESTAURANTE,RIOBAMBA 1177,Recoleta,Comuna 2
QUIJOTE PIZZA CAFE,RESTAURANTE,DE MAYO AV. 1101,Monserrat,Comuna 1
QUILATE,RESTAURANTE,"DIAZ, CNEL. AV. 2189",Recoleta,Comuna 2
QUINCY,RESTAURANTE,CABILDO AV. 2156,Belgrano,Comuna 13
QUINTA AVENIDA II,CAFE,SUIPACHA 348,San Nicolas,Comuna 1
QUINTITOS CAFE,CAFE,YERBAL 2599,Flores,Comuna 7
QUITAPENAS,CAFE,"URQUIZA, Gral. 606",Balvanera,Comuna 3
QUORUM,CAFE,COMBATE DE LOS POZOS 61,Balvanera,Comuna 3
RABBIT,RESTAURANTE,RECONQUISTA 349,San Nicolas,Comuna 1
RABELAIS,RESTAURANTE,LIBERTAD 1319,Retiro,Comuna 1
RABELAIS,RESTAURANTE,DEL LIBERTADOR AV. 1319,Recoleta,Comuna 2
RAGNAR,RESTAURANTE,TUCUMAN 1899,Balvanera,Comuna 3
RAMIRO,RESTAURANTE,MONTEVIDEO 1655,Retiro,Comuna 1
RANCHO,RESTAURANTE,"ALBERDI, JUAN BAUTISTA AV. 6900",Mataderos,Comuna 9
RAPSODIA,RESTAURANTE,ELCANO AV. 3189,Colegiales,Comuna 13
RASTRO,BAR,"CABRERA, JOSE A. 4199",Palermo,Comuna 14
RAVE,BAR,GORRITI 5052,Palermo,Comuna 14
RAVELLO,RESTAURANTE,HONDURAS 5906,Palermo,Comuna 14
RAWSON CAFE,RESTAURANTE,ROCAMORA 4302,Almagro,Comuna 5
RECCO. COFFEE & BEER,RESTAURANTE,CALLAO AV. 1953,Recoleta,Comuna 2
RED,RESTAURANTE,TUCUMAN 693,San Nicolas,Comuna 1
REGGIO,RESTAURANTE,GUATEMALA 5798,Palermo,Comuna 14
REGIO,RESTAURANTE,SINCLAIR 2934,Palermo,Comuna 14
REIKY CAFE,RESTAURANTE,JUNIN 631,Balvanera,Comuna 3
RELAX,RESTAURANTE,INDEPENDENCIA AV. 1101,Monserrat,Comuna 1
RENATINO RISTORANTE,RESTAURANTE,"MOREAU DE JUSTO, ALICIA AV. 1760",Puerto Madero,Comuna 1
REPATA,CAFE,LAFUENTE AV. 925,Flores,Comuna 7
REPLAY,RESTAURANTE,"PERON, EVA AV. 4400",Parque Avellaneda,Comuna 9
RESTAURANT CASA CHINA,RESTAURANTE,VIAMONTE 1476,San Nicolas,Comuna 1
RESTAURANT DEL CLUB SIRIO,RESTAURANTE,"PACHECO DE MELO, JOSE ANDRES 1902",Recoleta,Comuna 2
RESTAURANTE CHINO,RESTAURANTE,ESTADO DE ISRAEL AV. 4382,Almagro,Comuna 5
RESTAURANT EL RINCON,RESTAURANTE,"URIBURU JOSE E., Pres. 1759",Recoleta,Comuna 2
RESTAURANT VICTORIA,RESTAURANTE,ESMERALDA 542,San Nicolas,Comuna 1
RESTAURANT Y CONFITERIA DE LA PROVI,RESTAURANTE,TUCUMAN 1889,Balvanera,Comuna 3
RESTO,RESTAURANTE,MONTEVIDEO 938,Recoleta,Comuna 2
RESTODANTE,RESTAURANTE,HONDURAS 5535,Palermo,Comuna 14
RESTOURANT PASO,RESTAURANTE,CHARCAS 3382,Palermo,Comuna 14
RETABLO,RESTAURANTE,LA PLATA AV. 293,Caballito,Comuna 6
REY CASTRO,RESTAURANTE,PERU 342,Monserrat,Comuna 1
REY DEL SABOR,RESTAURANTE,LAVALLE 909,San Nicolas,Comuna 1
RIALTO,RESTAURANTE,PARAGUAY 789,Retiro,Comuna 1
RIALTO II,RESTAURANTE,25 DE MAYO 784,San Nicolas,Comuna 1
RIATTO,CAFE,SAN MARTIN 621,San Nicolas,Comuna 1
RIBERA SUR,BAR,SUAREZ 694,Boca,Comuna 4
RICHARD'S,BAR,"ALVAREZ, JULIAN 2409",Palermo,Comuna 14
RICHMOND,RESTAURANTE,TUCUMAN 2201,Balvanera,Comuna 3
RICHMOND,CAFE,FLORIDA 466,San Nicolas,Comuna 1
RICO RICO,RESTAURANTE,RIVADAVIA AV. 3002,Balvanera,Comuna 3
RIEMPE BAR,RESTAURANTE,HUMAHUACA 4101,Almagro,Comuna 5
RIGOLETTO,RESTAURANTE,RODRIGUEZ PEÃÆÃ¢â¬ËA 1291,Recoleta,Comuna 2
RINCON DEL PILAR,RESTAURANTE,COSQUIN 32,Liniers,Comuna 9
RINCON SALTEÃÆÃ¢â¬ËO,BAR,"CARRANZA, ANGEL JUSTINIANO 1996",Palermo,Comuna 14
RIN Y SON SOCIAL CLUB,RESTAURANTE,SALTA 508,Monserrat,Comuna 1
RIO,CAFE,SARMIENTO 4699,Almagro,Comuna 5
RIO ALBA,RESTAURANTE,CERVIÃÆÃ¢â¬ËO AV. 4499,Palermo,Comuna 14
RIOBAMBA,CAFE,RIOBAMBA 902,Recoleta,Comuna 2
RIO MALON,RESTAURANTE,SARMIENTO 2108,Balvanera,Comuna 3
RIO PRIMERO,BAR,"PERON, JUAN DOMINGO, TTE. GENERAL 1517",San Nicolas,Comuna 1
RIQUI,RESTAURANTE,PERDRIEL 59,Barracas,Comuna 4
RISTRETTO,RESTAURANTE,SANTA FE AV. 3199,Recoleta,Comuna 2
RISTRETTO BAR,RESTAURANTE,LIMA 611,Monserrat,Comuna 1
RITUAL,CAFE,"MORENO, JOSE MARIA AV. 144",Caballito,Comuna 6
ROBIN,BAR,25 DE MAYO 172,San Nicolas,Comuna 1
ROCA,RESTAURANTE,"MITRE, BARTOLOME 1286",San Nicolas,Comuna 1
RODIZINHO,CAFE,CALLAO AV. 1292,Recoleta,Comuna 2
RODIZIO MADERO,RESTAURANTE,"MOREAU DE JUSTO, ALICIA AV. 848",Puerto Madero,Comuna 1
ROJO INTENSO,RESTAURANTE,"LACROZE, FEDERICO AV. 3517",Chacarita,Comuna 15
ROJO Y NEGRO,CAFE,DEL LIBERTADOR AV. 2661,Palermo,Comuna 14
ROLI,BAR,HUMBERTO 1Âº 601,San Telmo,Comuna 1
ROMA,RESTAURANTE,LAVALLE 888,San Nicolas,Comuna 1
ROMARIO,RESTAURANTE,"LOPEZ, VICENTE 2102",Recoleta,Comuna 2
